description,commit messages,linked issue titles,original,T5,BART,Llama3,DeepSeek-V2,BlueLM
 trigger the change event on the next tick. this means that multiple changes to a track's mode will only result in a single change event on its associated texttracklist rather than 3 events as it may be currently. fixes #5159. , add helper to event target to queue events  queuetrigger change events  lint error ,,async change events in texttracklist with eventtarget#queuetrigger,trigger change event on the next tick,add event target to queue events,add support for batching change events on TextTrackList, Queue change events on next tick to reduce event count (#5159),queue change events on text tracks (#5159)
" change types to have latest api in  p.s: current readme wasn't updated after keys() method removal, pr already exist to fix that: jonschlinkert/parse-git-config#11 and there is only expandkeys() method left: ", sync latest parse-git-config api changes  parse-git-config - fix tabulation ,,sync with latest api changes,sync latest api with latest api,sync latest parse-git-config api changes,update parse-git-config API to latest keys() method removal, updated parse-git-config api with latest changes,sync latest parse-git-config api changes
 new features apis add iterabledataset support for multiprocess dataloader add paddle.io.iterabledataset base class add paddle.io.get_worker_info to get worker process information for data splitting in iterabledataset , add iterabledataset support in multiprocess dataloader. test=develop  fix single process exit. test=develop ,,add iterable dataset support for multiprocess dataloader,add iterabledataset support for multiprocess dataloader,add iterabledataset support for multiprocess dataloader,add iterabledataset support for multiprocess dataloader, add iterabledataset support for multiprocess dataloader in paddle,add iterabledataset support for multiprocess dataloader
 document manage_inactivity function allow extruder_runout_prevent to work with all extruders use faster memcpy for copying coordinates fix some spelling in the configurations , spacing and spelling  fix manage_inactivity  - document manage_inactivity function  - allow extruder_runout_prevent to work with all extruders  - use faster memcpy for copying coordinates ,,"optimize coordinate copying, fix extruder_runout_prevent",allow extruder_runout_prevent to work with all extruders,document manage_inactivity and use faster memcpy,implemented support for kill_pin / fixed compilation errors for incomplete/bad translations," documented manage_inactivity, enhanced extruder_runout_prevent, and optimized memcpy usage",various fixes
 adds unit and integration tests for updating the backend config. this also standardizes the old create_backend codepath and the new deploy codepath on the same underlying call to update a backend config. i've run scripts/format.sh to lint the changes in this pr. ," unit tests for backend state  add goals  add explicit goal tests  remove  fix non-detached  small fix  fix version  add cleanup(), include in unit tests  fixes  add exit_actor call  medium for test_handle  refactored unit tests  add tests  add unit tests for updating config ",,add backend_state tests for updating backend config,add unit tests for updating backend config,add unit tests for updating backend config,add unit and integration tests for updating the backend config, add unit and integration tests for backend config updates,add unit and integration tests for updating backend config
" fix: #9401 note: i added some extra code that checks the operand values which is not strictly necessary, but now the errors are exactly the same as when using mongo shell. ", add support for  aliasses  styling ,,add support for $type aliasses.,add support for aliasses styling,add support for aliasses in mongo shell,fix: support for aliasses, fix operand value checks for consistency with mongo shell (fixes #9401),fix: mongoose schema type error when using $where with string operands
" most network params in dask module is constructed manually based on ips and ports. we need to drop all aliases from params to not confuse lightgbm cpp code with multiple values for the same param. lightgbm/python-package/lightgbm/dask.py lines 125 to 135 in ac706e1 machine_list = ','.join([ '%s:%d' % (urlparse(worker_address).hostname, port) for worker_address, port in worker_address_to_port.items() ]) network_params = { 'machines': machine_list, 'local_listen_port': worker_address_to_port[local_worker_address], 'time_out': time_out, 'num_machines': len(worker_address_to_port) } ", update dask.py  update basic.py ,,drop aliases of core network parameters,ac706e1 line 125 to 135 in dask module,drop all aliases from network params,Refine network params in Dask module for LightGBM compatibility, remove aliases from network params in dask module,drop aliases in dask params
 i hereby agree to the terms of the cla available at:  for changelog. remove if this is non-significant change. , docapi-5203: direct i/o settings for mergetree descriptions.  docapi-5203: edits after prereview of pull. ,,direct i/o settings for mergetree descriptions. en review and ru translation.,docapi-5203: direct i/o settings for mergetree descriptions.,direct i/o settings for mergetree descriptions.,docapi-5203 direct i/o settings for mergetree descriptions, docapi-5203: direct i/o settings for mergetree descriptions and prereview edits,docapi-5203 direct i/o settings descriptions.
" it turns out that in rare cases, ensureresources can fail. it's not currently known what can cause it. but the outcome of when it fails is that we hit an error accessing properties on an undefined object.  so this fix at least throws an error in render and doesn't try to render the app causing misleading errors. addresses #19959 ", fix(gatsby): ensure that ensureresources ensures resources  test ,,improve error message when ensureresources fails to ensure a resource,ensureresources ensures resources test,ensure that ensureresources ensures resources,Fix ensureresources to handle rare failure cases, Fix ensureResources failure to prevent undefined object property access,gatsby: throw an error when ensureresources fails instead of trying to render app
" nothing has been turned on yet. an incremental build involving incremental external dependencies behaves as a hybrid between an external dependency and a normal swiftdeps-laden swift file. in the simplest case, we will fall back to the behavior of a plain external dependency today. that is, we will check its timestamp, then schedule all jobs that involve these external dependencies if it is out of date. where things get interesting is when cross-module incremental builds are enabled. in such a case, we know that a previous compiler has already emitted serialized swiftdeps information inside of a swiftmodule file. moreover, we know that that swiftmodule file was loaded by the build of the current swift module. finally, thanks to the previous stack of commits, we now know exactly how to extract this information from the swiftmodule file. to bring this all home, we unpack incremental dependency information from external dependencies, then integrate them into the current dependency graph - as though they were any other swiftdeps file. this neatly extends the single-module incremental logic to the multi-module case. "," teach the driver to read fine-grained dependency graphs in swiftdeps files  install incremental external dependency integration code  an incremental build involving incremental external dependencies behaves as a hybrid between an external dependency and a normal swiftdeps-laden swift file.  in the simplest case, we will fall back to the behavior of a plain external dependency today. that is, we will check its timestamp, then schedule all jobs that involve these external dependencies if it is out of date.  where things get interesting is when cross-module incremental builds are enabled. in such a case, we know that a previous compiler has already emitted serialized swiftdeps information inside of a swiftmodule file. moreover, we know that that swiftmodule file was loaded by the build of the current swift module. finally, thanks to the previous stack of commits, we now know exactly how to extract this information from the swiftmodule file. to bring this all home, we unpack incremental dependency information from external dependencies, then integrate them into the current dependency graph - as though they were any other swiftdeps file. this neatly extends the single-module incremental logic to the multi-module case. ",,teach the legacy driver to unpack incremental dependency information from swiftmodule files,incremental build involving incremental external dependencies,install incremental external dependency integration code,serialization for incremental external dependencies, Integrate incremental external dependencies into multi-module builds,incremental external dependencies
" fixes a part of #9325 fixes docstring parameters test for cross_decomposition and discriminant_analysis the issue is not closed, other packages still need to be checked. don't hesitate to tell me if i can improve anything in this pr! ", fixing cross_decomposition docstring parameters  fixing discriminant analysis docstring parameters ,,docstring parameters improvements for cross_decomposition and discriminant_analysis,fix docstring parameters test for cross_decomposition and discriminant_analysis,fixing docstring parameters for cross_decomposition and discriminant_analysis,fixes docstring parameters for cross_decomposition and discriminant_analysis, fix docstring parameters for cross_decomposition and discriminant_analysis,docstring checks for svm and covariance modules
" per the discussion on the issue tracker, the behavior of the pure python implementation of datetime, date and time are out of whack with the equivalent from _datetimemodule.c. since the c version is almost certainly what's being used almost everywhere, this shouldn't have any real behavioral changes. the equivalent bug in pypy3 has been fixed for some time. ", add failing test for pure python datetime subclasses  bring pure python (datetime|date|time).replace behavior in line with c ,,make (datetime|date|time).replace return subclass type in pure python,bring pure python (datetime|date|time) behavior in line with c,bring pure python (datetime|date|time).replace behavior with c,"fix datetime, date, and time pure python implementation to match _datetimemodule.c behavior", align pure python datetime behavior with C implementation,bring pure python datetime/date/time behavior in line with c
 docs(vi-mode): revamp readme and document settings fix(vi-mode): hide cursor-change logic behind vi_mode_set_cursor setting fixes #9570 , docs(vi-mode): revamp readme and document settings  fix(vi-mode): hide cursor-change logic behind vi_mode_set_cursor setting  fixes #9570 , vi-mode changed the cursor shape; how do i disable it? ,hide cursor-change logic behind opt-in setting,docs(vi-mode): revamp readme and document settings,revamp readme and document settings,fix vi-mode settings," Revamp README and document vi-mode settings, fix cursor-change logic",hide cursor-change logic behind vi_mode_set_cursor setting
" backport of #17538. npm test passes tests are changed or added pr title follows semantic commit guidelines pr release notes describe the change in a way relevant to app developers, and are capitalized, punctuated, and past tense. notes: fixed offscreen rendering not working with viz compositor. ", fix: make osr work with viz compositor  fix: update osr patch  fix: update patch again  fix: update viz_osr.patch for macos  fix: gn check warnings  chore: no need to change softwareoutputdevicewinproxy  chore: add check in case we missed something  fix: consider scale factor when compare size  fix: make gpu osr work  fix: autofill popups with osr  chore: use unix line ending for osr_video_consumer  chore: code is already in defined(os_macosx)  fix: share same osr implementation on macos  this should also fix the crash when there is navigation on macos.  test: osr window should not crash after navigation  fix: make osr work on mac properly  fix: software osr on windows  fix: software osr on linux  fix: split local surface id allocation into two  fix: update patch for 5-0-x  fix: patch and update videoconsumer to report proper damage_rect ,,port osr code to new viz compositor codepath (backport: 5-0-x),fix offscreen rendering not working with viz compositor,make osr work with viz compositor (backport),Make osr work with viz compositor, fix offscreen rendering with viz compositor (backport: 5-0-x),make osr work with viz compositor (backport: 5-0-x)
" new module pull request network/aos/aos_device ansible version ansible 2.3.0 (aos_device_clean de9d90c9e6) last updated 2017/02/10 15:59:02 (gmt -700) config file = configured module search path = default w/o overrides i'm working for apstra, we are making a product to automate datacenter networks and we are developed a dozen of ansible modules and one dynamic inventory to control our product with ansible. we have tried to follow ansible's best practices as much as possible, all our modules are idempotent and support the mode --check. currently, this module has limited features but the few it has are very useful :). we have implemented the parameter state even if it only supports 1 state right because we know that we will add more very soon, unfortunately it won't be ready for the 2.3 deadline. this is the third batch of modules that i'm submitting for review, the first aos_ip_pool #21044 has been recently approved. ", initial version of aos_device  clean up documentation  move try/except closer to device.approve  remove non valid characters ,,aos_device as part of network/aos,new module pull request network/aos/aos_device ansible version 2.3.0,aos_device - first batch of modules,add support for apstra's aos_device module, add aos_device module for apstra datacenter automation,add aos_device module for apstra
 this pr fixes the problem that in some server-side sdks no user data is attached to session data and so no users adoption metric information it solves this by calculating adoption based on sessions in addition to users adoption calculations , added tests for calculating release adoption in sessions mode  added logic that allows adoption to be calculated either based on sessions or users  modified adoption calculation to return both users and sessions adoptoin  added sessions adoption to adoption calculation tests ,,add session adoption to release-health,fix adoption in sessions mode,fix release adoption metric in sdks,add support for session adoption, Add support for session-based adoption calculation,add support for calculating adoption based on sessions
 db2foreignkeyconfigurator db2indexconfigurator db2schemaconfigurator db2sequenceconfigurator db2uniquekeyconfigurator in org.jkiss.dbeaver.ext.db2.ui based on org.jkiss.dbeaver.ext.db2 managers of the same name created , #8562 part (configurators) of ui-part from plugins/org.jkiss.dbeaver.ext.db2 moved in org.jkiss.dbeaver.ext.db2.ui  #8562 wrong path in plugin.xml fixed ,,#8562 configurators from ext.db2 moved in ext.db2.ui,db2foreignkeyconfigurator db2indexconfigurator db2uniquekeyconfigurator,#8562 part (configurators) of ui-part moved in org.jkiss.dbeaver.ext.db2.ui,db2 configurators moved to ui, #8562 db2 configurators moved to org.jkiss.dbeaver.ext.db2.ui,#8562 db2 ui-part moved to ext.db2.ui
" ref: kubernetes/org#2456 as a part of cleaning up inactive members (those with no activity within the past 18 months), this commit removes the following people from various owners files: @balajismaniam @gmarek @jianhuiz @madhusudancs @mbohlool @nikhiljindal @csbell this pr replaces #99073, #99075 and #99077 / /assign @liggitt ", *: move balajismaniam to emeritus_approvers  *: move gmarek to emeritus_approvers  *: remove jianhuiz from reviewers  *: remove madhusudancs from reviewers  owners_aliases: remove csbell from feature-approvers  *: remove mbohlool from reviewers  *: remove nikhiljindal from owners ,,remove inactive members from owners - jan 2021,remove nikhiljindal from owners files,remove inactive members from feature-approvers,clean up inactive members from owners files, remove inactive members from owners files across directories,remove inactive members from owners
" use public paths in module augmentation test documented module augmentation / we have a notion of what we consider ""public paths"". however, this does not apply to type imports which makes it harder to teach (""ok here, but not ok there""). since we already make types public by documenting that the paths are public we might as well export them directly which means we can simplify how we teach public paths. the existing patterns continue to work but are more likely to break during refactoring. the patterns we now document are tested in ci and therefore a lot more robust. implementation choices separate script does not slow down test:unit allows parallel testing (which we haven't set up for mocha) can be included in test suite that runs with typescript nightlies ", [core] simplify module augmentation  test in ci ,,support public paths in module augmentation,simplify module augmentation test in ci,use public paths in module augmentation test,Simplify module augmentation and use public paths, Simplify and Test Module Augmentation in CI,simplify module augmentation test patterns
" another step toward #11638 this pr is a continuation of #12732. there were blas calls in the following cython files: weight_vector.pyx, cd_fast.pyx and    _k_means.pyx. there were also blas calls in the c file cholesky_delete.h. i decided to move (using fused types) the only function there to cython in arrayfuncs.pyx where there was a python wrapper for it. i added rot an rotg to the cython blas functions which i forgot in #12732 because i didn't check c files... i also removed linking to blas libs in some setups for modules which didn't call blas functions. the only remaining calls to bundled cblas in sklearn appear in tron.cpp, used in liblinear. they can't be replaced easily by calls to scipy cython blas because the calls to blas are not from cython files but from c files. ", replace cblas calls in utils/weight_vector  add rot & rotg to cython_blas  cholesky_delete -> cython to use cython_blas  add rot & rotg to cython_blas  rot & rotg cython_blas tests  cholesky delete fix  cblas to scipy cython_blas in linear_model/cd_fast  cblas to scipy cython_blas in cluster/_k_means  cleanup manifold setup ,,continue moving from cblas to scipy cython blas,replace cython blas calls in c files,replace cblas calls in cython files,remove blas calls from cython files and add to cython_blas, replace cblas calls with scipy cython_blas in sklearn and cleanup setup,remove cblas linking in some setups
" consolidating some bug fixes and improvements to the world api. work in progress. handle the corner case when ue deletes an actor visually and from the actor list but reference still exists in memory, causing fatal errors when another object of the same name is spawned. queue up garbage collection when an actor is destroyed. use a tmap for name<->asset mapping, instead of iterating through all assets in the database in getmeshfromregistry at every spawn. use a tmap for name<->actor mapping, instead of iterating through all actors in scene at every object api call. ", use a tmap for asset registry  handle ue's garbage collection delays when spawning. don't force particular names  print message when asset registry is ready ,,fixes and improvements to world api,fix ue's garbage collection delays when spawning,improvements to the world api,consolidating bug fixes and improvements to the world api, consolidate world api improvements and bug fixes,consolidate world api fixes
" fixes #87718 the problem was that synth_type_param_count was already subtracted from named_type_param_count, so this ended up being subtracted again. this caused expected_min to overflow, and ultimately resulting in weird and wrong behaviour. i've also added another test not present in the original issue but caused by the same bug. ", fix overflow when calculating expected_min in generics diagnostics  add regression tests ," ice: 'assertion failed: num_missing_args > 0', compiler/rustc_typeck/src/structured_errors/wrong_number_of_generic_args.rs:234:17 ",explicit_generic_args_with_impl_trait: fix min expected number of generics,fix overflow when calculating expected_min in generics diagnostics,fix overflow when calculating expected_min in generics diagnostics,fix overflow in generics diagnostics, fix overflow in generics diagnostics and add regression tests,fix overflow calculating expected_min in generics diagnostics
 description: an exception is thrown to the user if a custom resolver name is specified when using strict or logical dns in the address section of the endpoints. risk level: low testing: //test/... docs changes: this is a behavior change in an error condition. would documenting this change in the proto file be sufficient? release notes: n/a fixes #3553 , merge latest master from envoy  merge envoy master  throw exception if custom resolver is specified with strict_dns or logical_dns , prevent the use of custom resolvers for dns discovery types ,disallow specifying custom resolver name for strict and logical dns,envoy master throw exception if custom resolver is specified with strict_dns or logical_dns,throw exception if custom resolver name is specified when using strict or logical dns,prevent the use of custom resolvers for dns discovery types, Throw exception if custom resolver is specified with strict_dns or logical_dns,throw exception if using custom resolver with strict_dns or logical_dns
 renamed outdep to out_dep. added a simple test for .d files generated from -mmd. ," fixed dependency files not being saved away if using -mmd or similar.  fixed timestamps on object files extracted from archives during link.  this affects builds that use absolute paths to object files when adding to library archives, causing unnecessary archives.  renamed outdep to out_dep.  added test for change for issue #1732. ",,further changes for issue #1732,renamed outdep to out_dep.,fixed dependency files not being saved away if using -mmd or similar.,fixed dependency files and timestamps in out_dep, fixed dependency file handling and added test for issue #1732,fixed dependency files not being saved away if using -mmd or similar
" using the gi command provided by the gitignore plugin was causing a % to be shown in the terminal at the end of output. i opened an issue on the gitignore.io repository and they suggested adding -w '\n' to the curl command in order to make curl add the new line character at the end. the linked issue explains what my problem was in more detail. this pr applies the suggested fix. further, arguments expansion has been double-quoted for security reasons. see "," add trailing new line at the end of output  double-quote variable expansion  it's good practice to double-quote variable expansions, for security  reason.  see ",,minor improvements to the gitignore plugin,double-quote variable expansions for security reasons,add trailing new line at the end of output,use command to ensure trailing newline at the end of output, fix gitignore plugin output formatting and enhance security,add trailing new line at the end of output
" add or edit tests to reflect the change. (run with npm test.) follow the advice from the readme. avoid common mistakes. run npm run lint package-name (or tsc if no tslint.json is present). the package does not already provide its own types, or cannot have its .d.ts files generated via --declaration create it with dts-gen --dt, not by basing it on an existing project. represents shape of module/library correctly tslint.json should be present and it shouldn't have any additional or disabling of rules. just content as { ""extends"": ""dtslint/dt.json"" }. if for reason the some rule need to be disabled, disable it for that line using // tslint:disable-next-line [rulename]  and not for whole package so that the need for disabling can be reviewed. tsconfig.json should have noimplicitany, noimplicitthis, strictnullchecks, and strictfunctiontypes set to true. provide a url to documentation or source code which provides context for the suggested changes: < if you are making substantial changes, consider adding a tslint.json containing { ""extends"": ""dtslint/dt.json"" }. if for reason the any rule need to be disabled, disable it for that line using // tslint:disable-next-line [rulename] and not for whole package so that the need for disabling can be reviewed. if a package was never on definitelytyped, you don't need to do anything. (if you wrote a package and provided types, you don't need to register it with us.) add it to notneededpackages.json. "," added chatpermissions interface  - the field all_members_are_administrators has been removed from the documentation for the chat object. the field is still returned in the object for backward compatibility, but new bots should use the permissions field instead.  - modified chat interface. added : permissions, can_set_sticker_set, and sticker_set_name  updated message interface & added new interfaces - poll & polloption  - forward_sender_name  - media_group_id  - caption_entities  - poll  - connected_website  modified exisiting interfaces - audio, animation  - removed redundancy by extending filebase on animation  - added new properties to animation : width, height, and duration  - added new property to audio : thumb  modified contact and venue interfaces  - added foursquare_type to venue  - added vcard to contact  added new interface loginurl  rearranged interface ordering so that it matches telegram documentation  updated chatmember interface  - rearranged ordering to match telegram documentation  - added new property : is_member  fixed linting errors and made login_url as optional param in inlinekeyboardbutton ",,added new interfaces and updated existing ones,added chatpermissions interface - rearranged interface ordering,"added new interfaces - chatpermissions, contact, and venue",Added types for Telegram API interfaces and updated tests, Updated Telegram Bot API Types and Interfaces,Telegram Bot API Types: Merged PRs
" i just extended the types of the arguments for the #registerpartial function, because per the implementation that function is polymorphic. if the first argument is a string then the second must be a template fn, but in case the first argument is an object then the second argument is discarded making it optional. the implementation in question "," updating types for #registerpartial  #registerpartial is a polymorphic function now it accepts a single object making the second param optional.  excerpt from the implementation:  js  registerpartial: function(name, partial) {  if (tostring.call(name) === objecttype) {  extend(this.partials, name);  } else {  if (typeof partial === 'undefined') {  throw new exception(attempting to register a partial called ""${name}"" as undefined);  }  this.partials[name] = partial;  }  },    updated handelbars#registerpartials  removed extra spaces ",,updated type definitions for handlebars#registerpartials,updating types for #registerpartial,updating types for #registerpartial,Update types for #registerpartial, Update types for #registerpartial to handle polymorphic behavior,update types for #registerpartial
" fixes #4817. when the --update-checksums flag is set, yarn would know to ignore a checksum mismatch between yarn.lock and the repository, and instead update the yarn.lock file with the proper checksum(s). added new tests. to manually check this: change one or more of the package checksums in yarn.lock delete node_modules (optionally also run yarn cache clean) run yarn => checksum mismatch error will be received. run yarn --update-checksums => will install successfully and fix the damaged checksums in yarn.lock ", test(cli): update package checksum  update package checksum when there is a checksum mismatch between the repo and the lockfile  feat(cli): update package checksum on mismatch  provide the option to update the package checksum when there is a mismatch between the repo and the  local yarn.lock file  4817 , moving repositories without recreating yarn.lock? ,add --update-checksums to cli install,fix the re-installing of the re-installed re-installed re-installed re-installed re-installed re-installed re-installed re-installed re-installed re-installed re-installed re-installed re-installed re-installed re-installed re-installed re-installed re,update package checksums when there is a mismatch between yarn.lock and the repository,fix yarn to update package checksums when --update-checksums flag is set, add --update-checksums flag to handle yarn.lock checksum mismatches,feat(cli): update package checksum on mismatch
" upon further coding proceeds, found another unsquashed macos unavailable nproc. decreases travis build time too! fix last pr that uses the wrong command of phy cores instead of logical cores. "," nproc for ubuntu, hw.logicalcpu for mac  physicalcpu to logicalcpu  non-efficient j1 to hw.logicalcpu ",,changes nproc for mac to hw.logicalcpu where applicable,"fix nproc for ubuntu, hw.logicalcpu for mac physicalcpu to logicalcpu non-efficient","nproc for ubuntu, hw.logicalcpu for mac",Fix command consistency checks and error fixing in mac build instructions, Improve macOS build efficiency and correct CPU core count logic,get cpu info for macos
" description: added support for humidity and pressure in 1-wire devices. also added support for a couple of new (old) devices. this update changes the names of the sensors from ""<sensor_name>"" to ""<sensor_name> <sensor_type>"" example: kitchen -> kitchen temperature. in the database this looks like: sensor.kitchen -> sensor.kitchen_temperature. this was a necessary change as devices with multiple sensors would be given additional _n suffixes in the database that would be not be persistent per sensor across restarts of ha. if you wish to maintain a single line of record in the database this can be achieved by the following recipe. connect to your database using the instructions from  check the names of sensors: select entity_id, count(*) as count from states group by entity_id order by count desc limit 10; alter the names of sensors using the following examples: update states set entity_id='sensor.<sensor_name>_temperature' where entity_id like 'sensor.<sensor_name>%' and attributes like '%\u00b0c%'; update states set entity_id='sensor.<sensor_name>_pressure' where entity_id like 'sensor.<sensor_name>%' and attributes like '%mb%'; update states set entity_id='sensor.<sensor_name>_humidity' where entity_id like 'sensor.<sensor_name>%' and attributes like '%%%' escape ''; remember to replace <sensor_name> with the actual name of the sensor as seen in the select query. checklist: local tests with tox run successfully. your pr cannot be merged unless tests pass new dependencies have been added to the requirements variable (example). new dependencies are only imported inside functions that use them (example). new dependencies have been added to requirements_all.txt by running script/gen_requirements_all.py. new files were added to .coveragerc. ", added more devices and sensor types.  flake8 fixes ,,added more devices and types to onewire,add support for humidity and pressure in 1-wire devices,added support for humidity and pressure,add support for humidity and pressure in 1-wire devices, Add support for humidity and pressure in 1-wire devices,add support for 1-wire humidity and pressure sensors
" add support for group layers when parsing json output from tiled as requested in issue #4099.  along the way, i believe i discovered some problems with the way phaser parses infinite tiled maps and fixed those as well.  infinite map layers might still have 'offsetx' and 'offsety' properties but these were previously being ignored.  they are now accounted for properly. i have tested all these changes against the phaser3-examples both visually and with the 'tester' script and everything that worked before the changes works the same as after my changes.  i added several tests to the examples repo in my local working copy that tested groups and an infinite map to ensure those parts work as well.  those examples are not a part of this pr as they were on top of the examples repo and not this one. here is a quick summary of changes: added logic to each of the layer type parsers (tiled, object, and image) to account for group layers. added a file with a single function that creates the important state that needs to be inherited from a group. uses an iterative approach to traversing the group hierarchy with a stack rather than recursion. all hierarchy is flattened to a single array of layers and the group layers are discarded after they are accounted for. layer names are prepended with any containing group names separated by slashes ('/') updated documentation for the tilemap gameobject to mention support for layers and the renaming that can occur. updated error reporting when an invalid tile layer name is requested in order to pre-empt any confusion surround the renaming of layers.  now lists the valid layer names. "," support for tiled groups and infinite map fixes  - added support for tiled group layers (issue #4099)  - fixed some layer offset bugs for infinite maps  updates for supporting group layers  - updated documentation to mention support for groups and naming layers  - added more verbose output when an unknown layer name is specified  > error output now lists the valid layer names  - added functions to return array of tile, object, or image layer names ",,support for tiled layer groups,support for infinite maps and tiled groups,support for tiled groups and infinite map fixes,python net spec cleanups and top-less layers, add support for group layers in tiled json parsing and infinite map fixes,add support for tiled groups and infinite maps
" closes #19950 tests added / passed passes git diff upstream/master -u -- ""*.py"" | flake8 --diff whatsnew entry very simple implementation at the moment. the thought here is to introduce this method and perhaps subsequently extend to allow for string concatenation of the elements. longer term there could also be a keyword added to .agg of groupby which will dispatch to this instead of simply returning a multiindex column, which could alleviate some of the pain users are experience when trying to rename columns after an aggregation. @tomaugspurger and @jorisvandenbossche from the dev chat today ", added initial test  method implementation , add method to flatten all multi-index levels ,add to_flat_index method to multiindex,add method to flatten all multi-index levels,add method to flatten all multi-index levels,added method to flatten all multi-index levels, add method to flatten multi-index levels,add method to flatten all multi-index levels
 i hereby agree to the terms of the cla available at:  category: doc fixes ('ru'). changes description: adding description of the check table query. ordering miscellaneous queries by alphabet. , translation for check table query to russian  fix link to nowhere ,,adding description of the check table query to the 'ru' doc,translation for check table query to russian,translation of check table query to russian,added description of check table query and fixed links to nowhere, Add check table query description and alphabetize queries in Russian docs,adding description of the check table query. ordering miscellaneous queries by alphabet.
" if the flutter_tool's .packages is missing, run pub get offline in the directory. makes #41681 a bit better, though it still crashes on the first run. ", workaround for cache issue  fix imports ,,handle missing .packages file in the flutter tool for prebuilt artifacts,fix imports in flutter_tool,fix cache issue in flutter_tool,fix cache issue with missing.packages file, workaround for missing .packages in flutter tools,workaround for missing global packages cache
" updated stop-only to the version that only finds describe.only, context.only and it.only and does not find "".only"" in comments add npm run warn-only precommit and npm run stop-only prepush ", chore: upgrade stop-only and catch them  run stop-only first on precommit  just warn on precommit .only  testing  testing done  run stop-only on git prepush hook ,,update stop only and catch em,"update stop-only to the version that only finds describe.only, context.only and it.only",upgrade stop-only to the version that only finds describe.only and context.only,"update stop-only to only find describe.only, context.only and it.only", upgrade stop-only and add precommit/prepush hooks,"stop-only and warn-only for describe.only, context.only and it.only"
" i haven't removed ak::out yet, because i am expecting merge conflicts. (i mean pretty much everything wants to write to stdout at some point.) since we build with -werror, marking it with [[deprecated]] will produce a helpful error message and we can do the renaming of ak::new_out to ak::out in a week or so. "," ak: introduce sourcegenerator::fork().  previously, i abused the copy constructor, this is a lot better.  ak: eradicate the uses of out().  ak: add [[deprecated]] to out(). ",,eradicate remaining calls to ak::out().,add [[deprecated]] to out(),remove the use of out().,rename ak::out to ak::new_out, deprecate ak::out and introduce sourcegenerator::fork().,remove all calls to ak::out
